,datetime,open,high,low,close,volume
0,2024-10-08 12:00:00+00:00,105.98,106.16,105.78,106.02,111382
1,2024-10-08 14:00:00+00:00,106.0,106.24,105.9,106.24,111071
2,2024-10-08 16:00:00+00:00,106.22,107.0,106.06,106.98,120036
3,2024-10-08 18:00:00+00:00,106.98,106.98,106.22,106.22,58694
4,2024-10-08 20:00:00+00:00,106.26,106.54,106.04,106.4,36907
5,2024-10-09 06:00:00+00:00,106.36,106.82,105.86,106.34,108599
6,2024-10-09 08:00:00+00:00,106.32,106.8,106.12,106.54,117479
7,2024-10-09 10:00:00+00:00,106.54,106.62,104.92,105.0,446213
8,2024-10-09 12:00:00+00:00,104.98,105.0,103.66,104.02,569600
9,2024-10-09 14:00:00+00:00,104.04,104.12,103.36,103.4,383573
10,2024-10-09 16:00:00+00:00,103.66,104.06,103.5,103.74,175058
11,2024-10-09 18:00:00+00:00,103.74,103.96,103.36,103.78,96516
12,2024-10-09 20:00:00+00:00,103.78,103.88,103.52,103.82,41730
13,2024-10-10 06:00:00+00:00,103.84,104.3,103.36,103.88,268540
14,2024-10-10 08:00:00+00:00,103.86,104.46,103.32,103.64,454508
15,2024-10-10 10:00:00+00:00,103.64,103.76,103.16,103.52,210805
16,2024-10-10 12:00:00+00:00,103.5,104.04,103.32,104.0,281591
17,2024-10-10 14:00:00+00:00,103.98,104.02,103.54,103.54,114407
18,2024-10-10 16:00:00+00:00,103.62,103.8,103.34,103.52,87302
19,2024-10-10 18:00:00+00:00,103.52,103.74,103.52,103.68,33307
20,2024-10-10 20:00:00+00:00,103.68,103.68,103.22,103.48,25983
21,2024-10-11 06:00:00+00:00,103.5,103.86,102.72,103.1,258724
22,2024-10-11 08:00:00+00:00,103.04,103.22,102.5,102.84,231773
23,2024-10-11 10:00:00+00:00,102.84,102.86,101.82,102.0,307768
24,2024-10-11 12:00:00+00:00,102.0,102.4,101.88,102.18,228688
25,2024-10-11 14:00:00+00:00,102.16,102.42,101.74,102.42,361500
26,2024-10-11 16:00:00+00:00,102.42,102.82,102.14,102.4,117862
27,2024-10-11 18:00:00+00:00,102.4,102.4,102.04,102.12,41541
28,2024-10-11 20:00:00+00:00,102.12,102.12,101.5,101.56,70689
29,2024-10-14 06:00:00+00:00,101.56,101.78,100.3,100.74,385892
30,2024-10-14 08:00:00+00:00,100.76,101.7,100.46,101.34,230896
31,2024-10-14 10:00:00+00:00,101.34,103.6,101.34,102.84,747025
32,2024-10-14 12:00:00+00:00,102.86,103.56,102.24,103.5,874977
33,2024-10-14 14:00:00+00:00,103.5,105.2,103.5,104.92,865363
34,2024-10-14 16:00:00+00:00,104.88,105.74,104.62,105.4,203113
