,datetime,open,high,low,close,volume
0,2024-10-08 12:00:00+00:00,85.68,85.83,85.49,85.69,1937672
1,2024-10-08 14:00:00+00:00,85.69,85.88,85.37,85.74,1768428
2,2024-10-08 16:00:00+00:00,85.6,85.77,85.52,85.7,766524
3,2024-10-08 18:00:00+00:00,85.71,85.8,85.5,85.7,565632
4,2024-10-08 20:00:00+00:00,85.7,85.86,85.61,85.85,610697
5,2024-10-09 06:00:00+00:00,85.71,85.98,85.2,85.5,3506415
6,2024-10-09 08:00:00+00:00,85.5,85.94,85.31,85.52,2994860
7,2024-10-09 10:00:00+00:00,85.5,86.3,85.13,86.02,5999429
8,2024-10-09 12:00:00+00:00,86.0,86.1,85.47,85.62,2956005
9,2024-10-09 14:00:00+00:00,85.63,85.87,85.38,85.43,1501257
10,2024-10-09 16:00:00+00:00,85.6,85.91,85.46,85.74,1219932
11,2024-10-09 18:00:00+00:00,85.73,85.8,85.53,85.7,742844
12,2024-10-09 20:00:00+00:00,85.71,89.9,85.71,89.79,19502431
13,2024-10-10 06:00:00+00:00,89.47,89.66,86.4,86.68,33191501
14,2024-10-10 08:00:00+00:00,86.68,87.25,86.67,86.87,10122613
15,2024-10-10 10:00:00+00:00,86.88,86.94,86.15,86.4,7592380
16,2024-10-10 12:00:00+00:00,86.4,86.71,85.9,86.22,5557827
17,2024-10-10 14:00:00+00:00,86.22,86.51,86.05,86.15,2815563
18,2024-10-10 16:00:00+00:00,86.19,86.69,86.16,86.56,1728322
19,2024-10-10 18:00:00+00:00,86.6,86.61,85.96,86.22,2049577
20,2024-10-10 20:00:00+00:00,86.22,86.4,86.03,86.16,1030516
21,2024-10-11 06:00:00+00:00,86.18,86.3,85.78,86.04,3174708
22,2024-10-11 08:00:00+00:00,86.02,86.31,85.44,85.7,4454298
23,2024-10-11 10:00:00+00:00,85.7,85.77,85.2,85.59,3213366
24,2024-10-11 12:00:00+00:00,85.6,85.95,85.45,85.5,1968999
25,2024-10-11 14:00:00+00:00,85.5,85.99,85.47,85.95,1825526
26,2024-10-11 16:00:00+00:00,85.9,86.13,85.76,85.88,1341576
27,2024-10-11 18:00:00+00:00,85.88,85.93,85.66,85.72,544647
28,2024-10-11 20:00:00+00:00,85.72,85.72,85.55,85.61,668834
29,2024-10-14 06:00:00+00:00,85.58,85.61,84.6,84.85,9188581
30,2024-10-14 08:00:00+00:00,84.85,85.3,84.71,85.07,4508233
31,2024-10-14 10:00:00+00:00,85.07,86.69,84.96,86.5,8763748
32,2024-10-14 12:00:00+00:00,86.5,86.85,86.22,86.7,3758797
33,2024-10-14 14:00:00+00:00,86.71,86.99,86.31,86.5,2786165
34,2024-10-14 16:00:00+00:00,86.4,86.53,86.08,86.46,1649116
35,2024-10-14 18:00:00+00:00,86.46,86.65,86.36,86.64,826395
36,2024-10-14 20:00:00+00:00,86.64,86.86,86.59,86.7,677447
37,2024-10-15 06:00:00+00:00,86.49,87.09,86.21,86.78,3818335
38,2024-10-15 08:00:00+00:00,86.78,87.17,86.51,86.77,3537752
39,2024-10-15 10:00:00+00:00,86.79,87.07,86.43,87.03,2161982
40,2024-10-15 12:00:00+00:00,87.03,87.16,86.3,86.56,4092420
41,2024-10-15 12:00:00+00:00,87.03,87.16,86.3,86.56,4092420
42,2024-10-15 14:00:00+00:00,86.56,86.94,86.49,86.94,2052010
43,2024-10-15 16:00:00+00:00,86.87,87.0,86.78,86.82,966217
44,2024-10-15 18:00:00+00:00,86.81,86.89,86.56,86.82,763741
45,2024-10-15 20:00:00+00:00,86.83,86.84,86.59,86.67,434743
46,2024-10-16 06:00:00+00:00,86.8,87.62,86.7,87.49,4329798
47,2024-10-16 08:00:00+00:00,87.49,87.5,86.31,86.47,7286649
48,2024-10-16 10:00:00+00:00,86.46,86.75,86.26,86.38,3242576
49,2024-10-16 12:00:00+00:00,86.36,86.59,85.82,86.02,3036674
50,2024-10-16 14:00:00+00:00,86.0,86.25,85.7,85.7,2206814
51,2024-10-16 16:00:00+00:00,85.88,86.09,85.77,85.9,650024
52,2024-10-16 18:00:00+00:00,85.91,86.19,85.0,86.04,2386245
53,2024-10-16 20:00:00+00:00,86.05,86.06,85.64,85.82,441364
54,2024-10-17 06:00:00+00:00,85.78,86.07,85.45,85.76,2580746
55,2024-10-17 08:00:00+00:00,85.76,85.9,85.12,85.26,3243199
56,2024-10-17 10:00:00+00:00,85.25,85.61,85.17,85.39,1965151
57,2024-10-17 12:00:00+00:00,85.39,85.73,85.33,85.5,1403285
58,2024-10-17 14:00:00+00:00,85.49,85.72,85.17,85.17,1478693
59,2024-10-17 16:00:00+00:00,85.18,85.28,84.9,84.94,2179475
60,2024-10-17 18:00:00+00:00,84.95,85.07,84.8,85.03,1496124
61,2024-10-17 20:00:00+00:00,85.02,85.13,84.85,85.09,696090
62,2024-10-18 06:00:00+00:00,84.81,85.28,84.3,84.76,6339773
63,2024-10-18 08:00:00+00:00,84.77,85.4,84.62,84.87,3437669
64,2024-10-18 10:00:00+00:00,84.87,84.9,84.15,84.37,5805647
65,2024-10-18 12:00:00+00:00,84.39,84.67,84.01,84.1,4576920
66,2024-10-18 14:00:00+00:00,84.1,84.99,84.05,84.63,4729078
67,2024-10-18 16:00:00+00:00,84.7,84.9,84.66,84.8,1206933
68,2024-10-18 18:00:00+00:00,84.8,84.88,84.66,84.71,910228
69,2024-10-18 20:00:00+00:00,84.7,84.85,84.7,84.84,459646
70,2024-10-21 06:00:00+00:00,84.98,85.21,84.61,84.93,3284269
71,2024-10-21 08:00:00+00:00,84.93,85.1,84.42,84.98,3323606
72,2024-10-21 10:00:00+00:00,84.99,85.13,84.66,84.74,1943026
73,2024-10-21 12:00:00+00:00,84.75,85.1,84.73,84.99,1128902
74,2024-10-21 14:00:00+00:00,84.98,85.0,84.51,84.74,1791456
75,2024-10-21 16:00:00+00:00,84.74,84.76,84.58,84.67,337512
76,2024-10-21 18:00:00+00:00,84.69,84.79,84.6,84.73,312412
77,2024-10-21 20:00:00+00:00,84.74,84.76,84.68,84.71,133599
78,2024-10-22 06:00:00+00:00,84.65,84.72,84.24,84.48,1418143
79,2024-10-22 08:00:00+00:00,84.48,85.1,84.3,84.98,2637128
80,2024-10-22 10:00:00+00:00,84.98,85.04,84.43,84.56,2054585
81,2024-10-22 12:00:00+00:00,84.56,84.66,84.06,84.16,2719663
82,2024-10-22 12:00:00+00:00,84.56,84.66,84.06,84.16,2719663
83,2024-10-22 14:00:00+00:00,84.17,84.3,83.65,83.94,5125595
84,2024-10-22 16:00:00+00:00,83.94,83.95,83.63,83.76,1387044
85,2024-10-22 18:00:00+00:00,83.76,83.8,83.61,83.68,684637
86,2024-10-22 20:00:00+00:00,83.66,83.67,83.45,83.58,790323
87,2024-10-23 06:00:00+00:00,83.41,83.48,82.61,82.73,8524285
88,2024-10-23 08:00:00+00:00,82.72,83.4,82.57,82.95,4853186
89,2024-10-23 10:00:00+00:00,82.96,83.44,82.83,82.84,2209265
90,2024-10-23 12:00:00+00:00,82.84,84.98,82.83,83.7,10697511
91,2024-10-23 14:00:00+00:00,83.68,84.21,83.46,84.21,3309916
92,2024-10-23 16:00:00+00:00,84.0,84.1,82.74,82.77,3571511
93,2024-10-23 18:00:00+00:00,82.76,82.82,82.1,82.33,4401599
94,2024-10-23 20:00:00+00:00,82.33,82.33,81.84,82.22,1832829
95,2024-10-24 06:00:00+00:00,82.4,82.9,81.91,82.06,5646287
96,2024-10-24 08:00:00+00:00,82.05,82.47,81.2,81.61,6083521
97,2024-10-24 10:00:00+00:00,81.61,82.29,81.32,82.23,2773130
98,2024-10-24 12:00:00+00:00,82.23,82.35,81.67,82.34,2024547
99,2024-10-24 14:00:00+00:00,82.34,82.73,82.21,82.26,2261900
100,2024-10-24 16:00:00+00:00,82.26,82.6,82.26,82.39,999887
101,2024-10-24 18:00:00+00:00,82.38,82.44,82.26,82.39,473925
102,2024-10-24 20:00:00+00:00,82.39,82.75,82.37,82.64,781555
103,2024-10-25 06:00:00+00:00,82.66,82.77,82.27,82.44,1708454
104,2024-10-25 08:00:00+00:00,82.44,83.22,82.4,82.65,4274963
105,2024-10-25 10:00:00+00:00,82.64,83.3,81.5,81.79,10751887
106,2024-10-25 12:00:00+00:00,81.78,82.45,80.06,80.2,14969962
107,2024-10-25 14:00:00+00:00,80.2,80.58,79.67,79.96,8427731
108,2024-10-25 16:00:00+00:00,79.97,80.2,79.78,80.07,2697315
109,2024-10-25 18:00:00+00:00,80.06,80.24,79.88,80.02,1596000
110,2024-10-25 20:00:00+00:00,80.02,80.02,79.8,79.89,893163
111,2024-10-28 06:00:00+00:00,79.15,79.77,78.8,79.43,7870676
112,2024-10-28 08:00:00+00:00,79.41,80.19,79.3,79.45,5917666
113,2024-10-28 10:00:00+00:00,79.45,79.78,78.86,78.94,5251361
114,2024-10-28 12:00:00+00:00,78.93,79.21,78.29,78.36,7485782
115,2024-10-28 14:00:00+00:00,78.37,78.46,76.32,76.68,12283040
116,2024-10-28 16:00:00+00:00,76.73,76.93,75.16,76.13,10023546
117,2024-10-28 18:00:00+00:00,76.11,76.16,75.63,76.0,1760141
118,2024-10-28 20:00:00+00:00,76.0,76.27,75.99,76.2,618767
119,2024-10-29 06:00:00+00:00,76.33,77.01,76.02,76.7,4890820
120,2024-10-29 08:00:00+00:00,76.69,76.76,74.9,75.91,10547290
121,2024-10-29 10:00:00+00:00,75.92,76.92,75.5,76.82,4178235
122,2024-10-29 12:00:00+00:00,76.82,77.33,76.54,77.04,4683017
123,2024-10-29 12:00:00+00:00,76.82,77.33,76.54,77.04,4683017
124,2024-10-29 14:00:00+00:00,77.04,77.54,76.78,76.95,3643207
125,2024-10-29 16:00:00+00:00,76.97,78.0,76.93,77.77,3009737
126,2024-10-29 18:00:00+00:00,77.78,78.08,77.4,77.5,1881348
127,2024-10-29 20:00:00+00:00,77.49,77.5,77.14,77.45,564599
128,2024-10-30 06:00:00+00:00,77.56,78.29,77.17,78.17,3984689
129,2024-10-30 08:00:00+00:00,78.17,78.42,77.61,77.84,4519570
130,2024-10-30 10:00:00+00:00,77.84,77.88,76.83,76.93,3279799
131,2024-10-30 12:00:00+00:00,76.93,77.31,76.63,77.19,2689543
132,2024-10-30 14:00:00+00:00,77.18,78.24,77.12,77.87,5431914
133,2024-10-30 16:00:00+00:00,77.69,77.75,76.83,76.9,3826861
134,2024-10-30 18:00:00+00:00,76.9,77.06,76.0,76.25,2932052
135,2024-10-30 20:00:00+00:00,76.25,76.45,76.02,76.19,994350
136,2024-10-31 06:00:00+00:00,75.91,76.47,75.81,76.14,3895687
137,2024-10-31 08:00:00+00:00,76.14,76.34,74.73,75.48,6910938
138,2024-10-31 10:00:00+00:00,75.48,76.33,75.23,76.22,5052063
139,2024-10-31 12:00:00+00:00,76.23,76.33,75.22,75.34,2659095
