,datetime,open,high,low,close,volume
0,2024-10-21 12:00:00+00:00,640.3,640.6,636.7,637.6,11708
1,2024-10-21 14:00:00+00:00,637.6,637.9,634.4,634.7,19986
2,2024-10-21 16:00:00+00:00,634.7,639.8,634.5,638.7,11085
3,2024-10-21 18:00:00+00:00,638.7,638.7,636.9,636.9,4174
4,2024-10-21 20:00:00+00:00,637.3,638.5,637.1,637.8,7728
5,2024-10-22 06:00:00+00:00,634.5,637.7,633.4,634.9,27367
6,2024-10-22 08:00:00+00:00,635.0,636.0,630.2,632.2,68323
7,2024-10-22 10:00:00+00:00,632.4,634.4,629.6,633.3,30552
8,2024-10-22 12:00:00+00:00,633.5,634.8,623.0,623.7,72761
9,2024-10-22 14:00:00+00:00,623.7,624.1,620.0,620.9,143224
10,2024-10-22 16:00:00+00:00,620.4,620.8,615.8,617.5,86077
11,2024-10-22 18:00:00+00:00,617.7,618.4,610.1,613.3,92468
12,2024-10-22 20:00:00+00:00,613.2,615.4,612.1,615.4,33081
13,2024-10-23 06:00:00+00:00,614.8,614.8,606.8,608.8,153788
14,2024-10-23 08:00:00+00:00,608.9,611.1,606.5,608.3,112124
15,2024-10-23 10:00:00+00:00,608.1,611.2,607.5,608.3,51144
16,2024-10-23 12:00:00+00:00,608.3,612.3,607.4,611.5,46447
17,2024-10-23 14:00:00+00:00,611.2,611.7,607.8,610.6,34082
18,2024-10-23 16:00:00+00:00,608.1,608.9,605.0,605.3,77296
19,2024-10-23 18:00:00+00:00,605.1,607.1,601.0,605.0,54418
20,2024-10-23 20:00:00+00:00,605.0,605.8,603.2,604.1,19394
21,2024-10-24 06:00:00+00:00,603.5,607.0,598.5,598.5,85387
22,2024-10-24 08:00:00+00:00,598.5,603.7,596.8,597.6,87188
23,2024-10-24 10:00:00+00:00,597.1,598.7,592.7,594.3,128438
24,2024-10-24 12:00:00+00:00,594.3,601.5,592.4,601.5,91794
25,2024-10-24 14:00:00+00:00,601.5,610.4,600.8,604.0,98343
26,2024-10-24 16:00:00+00:00,602.8,607.4,602.1,603.0,21508
27,2024-10-24 18:00:00+00:00,603.0,604.7,601.0,601.3,19853
28,2024-10-24 20:00:00+00:00,601.3,603.2,601.2,603.2,5151
29,2024-10-25 06:00:00+00:00,601.3,604.9,598.9,601.5,33708
30,2024-10-25 08:00:00+00:00,601.5,608.6,601.3,604.0,52088
31,2024-10-25 10:00:00+00:00,604.4,625.0,585.7,586.9,571546
32,2024-10-25 12:00:00+00:00,586.9,592.7,570.6,574.5,391585
33,2024-10-25 14:00:00+00:00,574.5,584.9,573.0,581.2,223222
34,2024-10-25 16:00:00+00:00,582.0,595.8,578.4,593.1,126977
