,datetime,open,high,low,close,volume
0,2024-10-21 12:00:00+00:00,2591.0,2596.0,2589.0,2592.0,159857
1,2024-10-21 14:00:00+00:00,2592.0,2592.0,2577.6,2581.6,265157
2,2024-10-21 16:00:00+00:00,2582.0,2582.6,2578.0,2580.0,67540
3,2024-10-21 18:00:00+00:00,2580.0,2581.6,2578.6,2581.6,35762
4,2024-10-21 20:00:00+00:00,2581.6,2584.6,2581.0,2584.0,26263
5,2024-10-22 06:00:00+00:00,2593.6,2593.6,2571.0,2575.0,375627
6,2024-10-22 08:00:00+00:00,2575.6,2588.0,2572.0,2579.6,594355
7,2024-10-22 10:00:00+00:00,2580.0,2583.6,2570.0,2574.0,311908
8,2024-10-22 12:00:00+00:00,2574.0,2577.6,2570.6,2573.0,191229
9,2024-10-22 14:00:00+00:00,2573.0,2575.6,2561.0,2564.0,227008
10,2024-10-22 16:00:00+00:00,2564.0,2564.6,2556.6,2559.0,133107
11,2024-10-22 18:00:00+00:00,2559.6,2562.0,2555.0,2555.0,75038
12,2024-10-22 20:00:00+00:00,2555.6,2557.6,2552.6,2555.0,48292
13,2024-10-23 06:00:00+00:00,2554.0,2554.6,2527.0,2534.6,608714
14,2024-10-23 08:00:00+00:00,2534.0,2542.6,2523.0,2525.6,601598
15,2024-10-23 10:00:00+00:00,2525.6,2541.0,2523.0,2529.0,492802
16,2024-10-23 12:00:00+00:00,2529.0,2543.6,2527.0,2537.0,289672
17,2024-10-23 14:00:00+00:00,2537.6,2538.0,2524.6,2524.6,194779
18,2024-10-23 16:00:00+00:00,2524.0,2524.0,2501.6,2505.6,433467
19,2024-10-23 18:00:00+00:00,2505.0,2508.0,2462.0,2483.0,575156
20,2024-10-23 20:00:00+00:00,2483.0,2485.0,2479.0,2483.6,75283
21,2024-10-24 06:00:00+00:00,2476.0,2503.0,2476.0,2491.0,657141
22,2024-10-24 08:00:00+00:00,2491.0,2508.0,2485.0,2493.6,918992
23,2024-10-24 10:00:00+00:00,2493.6,2525.0,2491.0,2521.6,800628
24,2024-10-24 12:00:00+00:00,2521.6,2526.6,2502.0,2524.0,553743
25,2024-10-24 14:00:00+00:00,2524.0,2539.6,2524.0,2530.0,658238
26,2024-10-24 16:00:00+00:00,2531.0,2534.0,2525.6,2527.0,154455
27,2024-10-24 18:00:00+00:00,2527.0,2531.0,2525.0,2529.6,83325
28,2024-10-24 20:00:00+00:00,2529.6,2532.0,2528.6,2532.0,40235
29,2024-10-25 06:00:00+00:00,2533.6,2539.6,2526.6,2529.0,353395
30,2024-10-25 08:00:00+00:00,2529.0,2535.6,2517.6,2520.0,312150
35,2024-10-25 18:00:00+00:00,2415.6,2417.0,2408.6,2409.6,185711
36,2024-10-25 20:00:00+00:00,2409.6,2411.0,2403.6,2409.0,105945
40,2024-10-28 12:00:00+00:00,2339.0,2355.6,2333.6,2338.0,982942
41,2024-10-28 14:00:00+00:00,2338.6,2351.0,2315.0,2323.6,963323
42,2024-10-28 16:00:00+00:00,2323.6,2328.0,2304.6,2325.0,627071
43,2024-10-28 18:00:00+00:00,2324.6,2327.6,2311.6,2321.0,181055
44,2024-10-28 20:00:00+00:00,2321.0,2322.6,2317.6,2322.6,58625
45,2024-10-29 06:00:00+00:00,2330.6,2346.6,2327.0,2338.6,917034
46,2024-10-29 08:00:00+00:00,2339.0,2339.0,2311.6,2323.6,1116036
47,2024-10-29 10:00:00+00:00,2324.0,2344.0,2316.6,2340.6,942217
49,2024-10-29 14:00:00+00:00,2354.6,2380.0,2350.6,2364.0,864193
50,2024-10-29 16:00:00+00:00,2365.6,2374.6,2364.0,2372.0,253539
51,2024-10-29 18:00:00+00:00,2372.0,2406.6,2370.0,2387.6,552353
52,2024-10-29 20:00:00+00:00,2387.6,2391.0,2381.0,2390.0,113050
54,2024-10-30 08:00:00+00:00,2392.0,2406.6,2383.6,2392.0,1071260
55,2024-10-30 10:00:00+00:00,2392.0,2394.6,2367.6,2371.6,692330
56,2024-10-30 12:00:00+00:00,2371.6,2383.0,2367.0,2376.0,561290
57,2024-10-30 14:00:00+00:00,2376.0,2391.0,2371.0,2378.0,595643
58,2024-10-30 16:00:00+00:00,2372.0,2374.0,2356.0,2360.0,462799
59,2024-10-30 18:00:00+00:00,2360.0,2362.6,2334.6,2336.0,549188
60,2024-10-30 20:00:00+00:00,2335.6,2346.6,2335.0,2341.0,116856
61,2024-10-31 06:00:00+00:00,2329.0,2344.0,2328.6,2339.6,721218
63,2024-10-31 10:00:00+00:00,2332.6,2352.0,2327.0,2348.0,839968
64,2024-10-31 12:00:00+00:00,2348.0,2351.6,2333.6,2337.0,532158
65,2024-10-31 14:00:00+00:00,2337.0,2340.6,2321.0,2325.6,490316
66,2024-10-31 16:00:00+00:00,2325.6,2326.6,2310.0,2310.0,385159
