,datetime,open,high,low,close,volume
0,2024-10-21 12:00:00+00:00,84.75,85.1,84.73,84.99,1128902
1,2024-10-21 14:00:00+00:00,84.98,85.0,84.51,84.74,1791456
2,2024-10-21 16:00:00+00:00,84.74,84.76,84.58,84.67,337512
3,2024-10-21 18:00:00+00:00,84.69,84.79,84.6,84.73,312412
4,2024-10-21 20:00:00+00:00,84.74,84.76,84.68,84.71,133599
5,2024-10-22 06:00:00+00:00,84.65,84.72,84.24,84.48,1418143
6,2024-10-22 08:00:00+00:00,84.48,85.1,84.3,84.98,2637128
7,2024-10-22 10:00:00+00:00,84.98,85.04,84.43,84.56,2054585
8,2024-10-22 12:00:00+00:00,84.56,84.66,84.06,84.16,2719663
9,2024-10-22 14:00:00+00:00,84.17,84.3,83.65,83.94,5125595
10,2024-10-22 16:00:00+00:00,83.94,83.95,83.63,83.76,1387044
11,2024-10-22 18:00:00+00:00,83.76,83.8,83.61,83.68,684637
12,2024-10-22 20:00:00+00:00,83.66,83.67,83.45,83.58,790323
13,2024-10-23 06:00:00+00:00,83.41,83.48,82.61,82.73,8524285
14,2024-10-23 08:00:00+00:00,82.72,83.4,82.57,82.95,4853186
15,2024-10-23 10:00:00+00:00,82.96,83.44,82.83,82.84,2209265
16,2024-10-23 12:00:00+00:00,82.84,84.98,82.83,83.7,10697511
17,2024-10-23 14:00:00+00:00,83.68,84.21,83.46,84.21,3309916
18,2024-10-23 16:00:00+00:00,84.0,84.1,82.74,82.77,3571511
19,2024-10-23 18:00:00+00:00,82.76,82.82,82.1,82.33,4401599
20,2024-10-23 20:00:00+00:00,82.33,82.33,81.84,82.22,1832829
21,2024-10-24 06:00:00+00:00,82.4,82.9,81.91,82.06,5646287
22,2024-10-24 08:00:00+00:00,82.05,82.47,81.2,81.61,6083521
23,2024-10-24 10:00:00+00:00,81.61,82.29,81.32,82.23,2773130
24,2024-10-24 12:00:00+00:00,82.23,82.35,81.67,82.34,2024547
25,2024-10-24 14:00:00+00:00,82.34,82.73,82.21,82.26,2261900
26,2024-10-24 16:00:00+00:00,82.26,82.6,82.26,82.39,999887
27,2024-10-24 18:00:00+00:00,82.38,82.44,82.26,82.39,473925
28,2024-10-24 20:00:00+00:00,82.39,82.75,82.37,82.64,781555
29,2024-10-25 06:00:00+00:00,82.66,82.77,82.27,82.44,1708454
30,2024-10-25 08:00:00+00:00,82.44,83.22,82.4,82.65,4274963
31,2024-10-25 10:00:00+00:00,82.64,83.3,81.5,81.79,10751887
32,2024-10-25 12:00:00+00:00,81.78,82.45,80.06,80.2,14969962
33,2024-10-25 14:00:00+00:00,80.2,80.58,79.67,79.96,8427731
34,2024-10-25 16:00:00+00:00,79.97,80.2,79.78,80.07,2697315
35,2024-10-25 18:00:00+00:00,80.06,80.24,79.88,80.02,1596000
36,2024-10-25 20:00:00+00:00,80.02,80.02,79.8,79.89,893163
37,2024-10-28 06:00:00+00:00,79.15,79.77,78.8,79.43,7870676
38,2024-10-28 08:00:00+00:00,79.41,80.19,79.3,79.45,5917666
39,2024-10-28 10:00:00+00:00,79.45,79.78,78.86,78.94,5251361
40,2024-10-28 12:00:00+00:00,78.93,79.21,78.29,78.36,7485782
41,2024-10-28 14:00:00+00:00,78.37,78.46,76.32,76.68,12283040
42,2024-10-28 16:00:00+00:00,76.73,76.93,75.16,76.13,10023546
43,2024-10-28 18:00:00+00:00,76.11,76.16,75.63,76.0,1760141
44,2024-10-28 20:00:00+00:00,76.0,76.27,75.99,76.2,618767
45,2024-10-29 06:00:00+00:00,76.33,77.01,76.02,76.7,4890820
46,2024-10-29 08:00:00+00:00,76.69,76.76,74.9,75.91,10547290
47,2024-10-29 10:00:00+00:00,75.92,76.92,75.5,76.82,4178235
48,2024-10-29 12:00:00+00:00,76.82,77.33,76.54,77.04,4683017
49,2024-10-29 14:00:00+00:00,77.04,77.54,76.78,76.95,3643207
50,2024-10-29 16:00:00+00:00,76.97,78.0,76.93,77.77,3009737
51,2024-10-29 18:00:00+00:00,77.78,78.08,77.4,77.5,1881348
52,2024-10-29 20:00:00+00:00,77.49,77.5,77.14,77.45,564599
53,2024-10-30 06:00:00+00:00,77.56,78.29,77.17,78.17,3984689
54,2024-10-30 08:00:00+00:00,78.17,78.42,77.61,77.84,4519570
55,2024-10-30 10:00:00+00:00,77.84,77.88,76.83,76.93,3279799
56,2024-10-30 12:00:00+00:00,76.93,77.31,76.63,77.19,2689543
57,2024-10-30 14:00:00+00:00,77.18,78.24,77.12,77.87,5431914
58,2024-10-30 16:00:00+00:00,77.69,77.75,76.83,76.9,3826861
59,2024-10-30 18:00:00+00:00,76.9,77.06,76.0,76.25,2932052
60,2024-10-30 20:00:00+00:00,76.25,76.45,76.02,76.19,994350
61,2024-10-31 06:00:00+00:00,75.91,76.47,75.81,76.14,3895687
62,2024-10-31 08:00:00+00:00,76.14,76.34,74.73,75.48,6910938
63,2024-10-31 10:00:00+00:00,75.48,76.33,75.23,76.22,5052063
