,datetime,open,high,low,close,volume
14,2025-01-13 14:00:00+00:00,2926.0,2930.0,2900.0,2905.0,118869
15,2025-01-14 06:00:00+00:00,2920.0,2929.0,2900.0,2900.5,109776
17,2025-01-14 10:00:00+00:00,2912.0,2933.0,2904.0,2922.5,212739
18,2025-01-14 12:00:00+00:00,2922.5,2930.0,2910.0,2920.0,154066
19,2025-01-14 14:00:00+00:00,2920.0,2930.0,2919.0,2929.0,130737
20,2025-01-15 06:00:00+00:00,2936.5,2949.5,2915.0,2921.5,104911
21,2025-01-15 08:00:00+00:00,2921.5,2927.5,2907.5,2909.0,111570
22,2025-01-15 10:00:00+00:00,2909.5,2910.5,2895.0,2900.0,124328
23,2025-01-15 12:00:00+00:00,2899.5,2920.0,2891.0,2918.5,127879
24,2025-01-15 14:00:00+00:00,2918.5,2920.0,2898.0,2904.5,225926
25,2025-01-16 06:00:00+00:00,2905.0,2948.0,2883.0,2919.5,254823
28,2025-01-16 12:00:00+00:00,2929.5,2930.0,2906.5,2909.5,230133
29,2025-01-16 14:00:00+00:00,2909.5,2910.0,2903.0,2910.0,169849
30,2025-01-17 06:00:00+00:00,2905.0,2911.5,2866.5,2896.5,163261
32,2025-01-17 10:00:00+00:00,2899.0,2900.0,2877.0,2879.5,217045
33,2025-01-17 12:00:00+00:00,2879.0,2893.0,2858.5,2892.5,245136
34,2025-01-17 14:00:00+00:00,2890.0,2900.0,2885.5,2898.0,246267
35,2025-01-20 06:00:00+00:00,2900.5,2914.5,2900.0,2903.0,181141
36,2025-01-20 08:00:00+00:00,2903.0,2906.0,2878.0,2879.5,237203
37,2025-01-20 10:00:00+00:00,2878.0,2900.0,2866.0,2896.0,194468
38,2025-01-20 12:00:00+00:00,2897.0,2900.0,2882.5,2898.5,144933
39,2025-01-20 14:00:00+00:00,2900.0,2900.0,2866.0,2866.0,128163
40,2025-01-21 06:00:00+00:00,2885.0,2885.0,2837.0,2862.5,170032
41,2025-01-21 08:00:00+00:00,2862.0,2875.0,2855.0,2858.5,174313
42,2025-01-21 10:00:00+00:00,2859.5,2867.5,2847.5,2847.5,171815
45,2025-01-22 06:00:00+00:00,2933.0,2947.0,2908.0,2917.0,171050
46,2025-01-22 08:00:00+00:00,2916.0,2920.0,2912.0,2918.5,148390
48,2025-01-22 12:00:00+00:00,2935.0,2939.0,2920.0,2932.0,114613
49,2025-01-22 14:00:00+00:00,2931.5,2933.5,2913.5,2914.0,127797
50,2025-01-23 06:00:00+00:00,2913.5,2914.0,2886.0,2908.5,106039
51,2025-01-23 08:00:00+00:00,2908.5,2909.5,2894.0,2907.0,163054
52,2025-01-23 10:00:00+00:00,2907.0,2910.0,2897.5,2909.0,143852
53,2025-01-23 12:00:00+00:00,2908.5,2910.0,2903.0,2907.0,74210
54,2025-01-23 14:00:00+00:00,2907.0,2910.0,2889.0,2900.0,139778
55,2025-01-24 06:00:00+00:00,2912.0,2919.0,2897.0,2903.5,94585
56,2025-01-24 08:00:00+00:00,2904.0,2910.0,2897.0,2909.0,185514
57,2025-01-24 10:00:00+00:00,2909.0,2910.0,2905.0,2909.0,250176
58,2025-01-24 12:00:00+00:00,2909.5,2910.0,2903.0,2908.0,112284
59,2025-01-24 14:00:00+00:00,2908.0,2910.0,2902.0,2907.5,88585
60,2025-01-24 16:00:00+00:00,2907.5,2910.0,2905.0,2909.0,27406
61,2025-01-24 18:00:00+00:00,2909.5,2910.0,2905.5,2909.0,13612
62,2025-01-24 20:00:00+00:00,2909.0,2910.0,2907.0,2909.5,14535
63,2025-01-27 02:00:00+00:00,2911.0,2911.0,2911.0,2911.0,115
64,2025-01-27 04:00:00+00:00,2910.0,2934.0,2905.5,2922.5,16355
66,2025-01-27 08:00:00+00:00,2929.5,2930.0,2892.5,2919.5,148363
67,2025-01-27 10:00:00+00:00,2919.0,2940.0,2909.0,2930.5,208790
68,2025-01-27 12:00:00+00:00,2930.5,2936.0,2925.0,2934.5,147518
69,2025-01-27 14:00:00+00:00,2935.0,2936.0,2920.0,2927.0,113634
70,2025-01-27 16:00:00+00:00,2927.0,2930.0,2922.0,2926.0,23945
71,2025-01-27 18:00:00+00:00,2926.0,2927.0,2910.0,2915.0,28887
72,2025-01-27 20:00:00+00:00,2915.0,2922.0,2910.0,2919.5,9268
73,2025-01-28 02:00:00+00:00,2921.0,2921.0,2921.0,2921.0,7
74,2025-01-28 04:00:00+00:00,2919.5,2930.0,2911.0,2930.0,12532
75,2025-01-28 06:00:00+00:00,2930.0,2937.0,2913.0,2934.5,169107
76,2025-01-28 08:00:00+00:00,2934.5,2940.0,2930.0,2938.0,215024
81,2025-01-28 18:00:00+00:00,3124.0,3143.5,3116.0,3135.0,118610
82,2025-01-28 20:00:00+00:00,3133.5,3140.0,3130.0,3130.5,22138
83,2025-01-29 02:00:00+00:00,3132.0,3132.0,3132.0,3132.0,205
84,2025-01-29 04:00:00+00:00,3133.0,3179.5,3131.5,3164.5,132490
87,2025-01-29 10:00:00+00:00,3164.0,3175.0,3140.0,3144.5,260379
88,2025-01-29 12:00:00+00:00,3144.5,3161.0,3135.0,3159.0,194655
89,2025-01-29 14:00:00+00:00,3159.0,3179.5,3153.0,3177.0,243803
90,2025-01-29 16:00:00+00:00,3175.0,3190.0,3150.0,3174.0,134185
91,2025-01-29 18:00:00+00:00,3174.0,3176.0,3160.0,3165.5,35943
92,2025-01-29 20:00:00+00:00,3163.5,3171.0,3161.0,3169.0,8704
93,2025-01-30 02:00:00+00:00,3169.0,3169.0,3169.0,3169.0,60
94,2025-01-30 04:00:00+00:00,3169.0,3188.5,3166.0,3183.0,19646
96,2025-01-30 08:00:00+00:00,3180.0,3207.5,3175.0,3206.0,264394
100,2025-01-30 16:00:00+00:00,3259.5,3260.0,3255.0,3258.0,58160
101,2025-01-30 18:00:00+00:00,3259.5,3260.5,3255.0,3259.5,100451
102,2025-01-30 20:00:00+00:00,3259.0,3260.0,3255.0,3259.0,20121
103,2025-01-31 02:00:00+00:00,3261.0,3261.0,3261.0,3261.0,2593
104,2025-01-31 04:00:00+00:00,3261.0,3290.5,3260.5,3288.5,48044
107,2025-01-31 10:00:00+00:00,3209.0,3247.0,3201.0,3241.5,170279
108,2025-01-31 12:00:00+00:00,3241.5,3256.0,3222.0,3227.0,193101
109,2025-01-31 14:00:00+00:00,3227.0,3248.5,3222.0,3232.0,96013
110,2025-01-31 16:00:00+00:00,3232.0,3240.0,3222.0,3225.0,44595
111,2025-01-31 18:00:00+00:00,3225.0,3234.5,3222.0,3224.5,32500
112,2025-01-31 20:00:00+00:00,3224.5,3232.0,3222.0,3232.0,15253
113,2025-02-03 02:00:00+00:00,3232.5,3232.5,3232.5,3232.5,679
114,2025-02-03 04:00:00+00:00,3233.5,3238.5,3172.5,3218.5,75612
115,2025-02-03 06:00:00+00:00,3218.5,3270.0,3211.0,3252.0,203388
116,2025-02-03 08:00:00+00:00,3253.5,3267.0,3246.0,3253.0,264372
117,2025-02-03 10:00:00+00:00,3253.0,3274.0,3250.0,3263.5,147103
118,2025-02-03 12:00:00+00:00,3264.0,3264.0,3234.0,3252.0,120217
119,2025-02-03 14:00:00+00:00,3254.0,3256.5,3202.5,3248.0,152315
120,2025-02-03 16:00:00+00:00,3242.5,3244.0,3226.5,3238.0,25251
121,2025-02-03 18:00:00+00:00,3238.0,3249.0,3236.0,3244.0,18672
122,2025-02-03 20:00:00+00:00,3244.5,3247.5,3238.0,3240.0,7251
123,2025-02-04 02:00:00+00:00,3241.0,3241.0,3241.0,3241.0,15
124,2025-02-04 04:00:00+00:00,3241.0,3259.0,3240.5,3258.0,18844
125,2025-02-04 06:00:00+00:00,3256.5,3291.5,3253.0,3264.5,222521
127,2025-02-04 10:00:00+00:00,3260.0,3274.0,3240.0,3258.0,104916
129,2025-02-04 14:00:00+00:00,3274.0,3283.0,3260.0,3266.5,190510
130,2025-02-04 16:00:00+00:00,3273.0,3282.0,3266.5,3273.5,42757
131,2025-02-04 18:00:00+00:00,3273.5,3277.5,3245.0,3270.0,80572
132,2025-02-04 20:00:00+00:00,3270.5,3270.5,3260.5,3268.5,6734
133,2025-02-05 02:00:00+00:00,3267.0,3267.0,3267.0,3267.0,288
134,2025-02-05 04:00:00+00:00,3262.0,3290.5,3262.0,3282.5,30399
136,2025-02-05 08:00:00+00:00,3272.0,3279.5,3251.0,3260.5,250710
137,2025-02-05 10:00:00+00:00,3260.5,3276.0,3250.0,3258.0,164477
138,2025-02-05 12:00:00+00:00,3258.0,3260.0,3250.0,3256.0,74395
139,2025-02-05 14:00:00+00:00,3257.0,3264.0,3241.5,3262.5,221351
140,2025-02-05 16:00:00+00:00,3262.5,3283.5,3258.0,3272.5,122784
141,2025-02-05 18:00:00+00:00,3271.5,3281.0,3260.5,3273.0,44572
142,2025-02-05 20:00:00+00:00,3273.5,3280.0,3271.0,3276.5,20317
143,2025-02-06 02:00:00+00:00,3283.0,3283.0,3283.0,3283.0,263
144,2025-02-06 04:00:00+00:00,3284.0,3295.0,3275.0,3280.0,16025
145,2025-02-06 06:00:00+00:00,3281.5,3290.0,3257.5,3263.5,138807
146,2025-02-06 08:00:00+00:00,3265.5,3280.0,3252.0,3258.0,247359
148,2025-02-06 12:00:00+00:00,3244.5,3271.0,3241.0,3247.0,187544
149,2025-02-06 14:00:00+00:00,3246.5,3277.5,3240.5,3277.5,194517
150,2025-02-06 16:00:00+00:00,3269.5,3276.0,3259.0,3268.0,42061
151,2025-02-06 18:00:00+00:00,3268.0,3273.0,3267.0,3267.5,9667
152,2025-02-06 20:00:00+00:00,3267.0,3267.5,3260.0,3264.5,5982
153,2025-02-07 02:00:00+00:00,3268.0,3268.0,3268.0,3268.0,16
154,2025-02-07 04:00:00+00:00,3268.0,3276.5,3256.5,3263.0,17848
155,2025-02-07 06:00:00+00:00,3264.5,3274.5,3256.5,3261.0,92557
156,2025-02-07 08:00:00+00:00,3262.5,3274.0,3245.0,3250.0,119399
157,2025-02-07 10:00:00+00:00,3250.0,3270.0,3248.0,3255.5,149056
158,2025-02-07 12:00:00+00:00,3256.5,3265.0,3250.0,3262.5,104667
159,2025-02-07 14:00:00+00:00,3262.5,3270.0,3251.0,3270.0,96004
160,2025-02-07 16:00:00+00:00,3270.0,3270.0,3260.0,3266.5,14086
161,2025-02-07 18:00:00+00:00,3266.0,3274.5,3263.5,3268.5,15658
162,2025-02-07 20:00:00+00:00,3268.0,3270.0,3264.5,3266.0,4148
163,2025-02-10 02:00:00+00:00,3266.5,3266.5,3266.5,3266.5,897
164,2025-02-10 04:00:00+00:00,3269.0,3284.0,3266.5,3283.5,26794
165,2025-02-10 06:00:00+00:00,3283.0,3312.0,3268.0,3295.5,258249
168,2025-02-10 12:00:00+00:00,3354.5,3356.0,3332.5,3341.5,254476
169,2025-02-10 14:00:00+00:00,3341.5,3352.0,3334.5,3337.0,149486
170,2025-02-10 16:00:00+00:00,3346.5,3346.5,3336.0,3342.5,29442
171,2025-02-10 18:00:00+00:00,3343.0,3343.0,3297.5,3313.5,128597
172,2025-02-10 20:00:00+00:00,3314.0,3330.5,3267.5,3267.5,72186
173,2025-02-11 02:00:00+00:00,3285.0,3285.0,3285.0,3285.0,3472
174,2025-02-11 04:00:00+00:00,3286.0,3332.5,3284.0,3316.5,69954
175,2025-02-11 06:00:00+00:00,3316.5,3350.0,3303.5,3343.5,185368
176,2025-02-11 08:00:00+00:00,3344.5,3353.0,3309.5,3326.0,181343
177,2025-02-11 10:00:00+00:00,3324.5,3326.5,3295.0,3300.0,186531
178,2025-02-11 12:00:00+00:00,3299.5,3312.5,3275.0,3295.5,237368
179,2025-02-11 14:00:00+00:00,3296.0,3318.5,3290.0,3315.0,137726
